date,count
2020-09-18,807503
2020-09-20,237974
2020-09-21,248621
2020-09-19,90186
2020-09-22,23199
2020-09-20,0
2020-09-21,0
2020-09-25,259750
2020-09-23,2482922
2020-09-22,1259382
2020-09-24,2293905
2020-09-23,0
2020-09-24,0
2020-09-25,899998
2020-09-25,266518
2020-09-27,2841782
2020-09-28,1926689
2020-09-26,1864201
2020-09-27,0
2020-09-28,0
2020-10-04,2514122
2020-09-29,3987675
2020-10-05,3298680
2020-10-06,176716
2020-10-01,2979229
2020-09-30,5023956
2020-10-03,2139206
2020-09-28,358664
2020-10-02,3018562
2020-09-30,0
2020-10-01,0
2020-10-02,0
2020-10-03,0
2020-10-04,0
2020-10-05,0
2020-10-08,2253797
2020-10-07,3765487
2020-10-06,3479777
2020-10-07,0
2020-10-08,2171301
2020-10-12,1464603
2020-10-11,2582352
2020-10-10,2795759
2020-10-09,2985784
2020-10-09,0
2020-10-10,0
2020-10-11,0
2020-10-12,1411481
2020-10-13,188505
2020-10-15,120631
2020-10-12,423487
2020-10-13,2519826
2020-10-14,535808
2020-10-15,1799122
2020-10-14,3199703
2020-10-15,1484704
2020-10-16,1015019
2020-10-18,542049
2020-10-20,87071
2020-10-17,1515428
2020-10-16,2318870
2020-10-19,336342
2020-10-18,935104
2020-10-17,2664886
2020-10-18,2476368
2020-10-20,1577476
2020-10-19,3445967
2020-10-19,0
2020-10-20,1887112
2020-10-21,3012023
2020-10-21,199895
2020-10-24,322223
2020-10-21,37277
2020-10-26,389547
2020-10-27,130684
2020-10-22,3592676
2020-10-23,983097
2020-10-25,344253
2020-10-24,2844035
2020-10-26,2653541
2020-10-27,1063231
2020-10-22,219933
2020-10-23,3224609
2020-10-25,2893785
2020-10-24,163296
2020-10-26,160389
2020-10-25,376307
2020-10-25,0
2020-10-26,270606
2020-10-27,229231
2020-10-29,3175855
2020-10-27,1703541
2020-10-28,3524378
2020-10-30,3067745
2020-10-31,3187719
2020-11-01,138530
2020-10-28,0
2020-10-29,0
2020-10-30,0
2020-10-31,0
2020-11-02,4427353
2020-11-03,4602277
2020-11-01,3469968
2020-11-02,0
2020-11-03,0
2020-11-10,428590
2020-11-08,1086912
2020-11-05,3980756
2020-11-03,585358
2020-11-06,4327112
2020-11-07,3883728
2020-11-04,5238457
2020-11-09,960982
2020-11-05,0
2020-11-06,0
2020-11-10,2196253
2020-11-08,4230190
2020-11-07,1511544
2020-11-09,3460523
2020-11-08,0
2020-11-09,0
2020-11-12,2778243
2020-11-10,986961
2020-11-11,2903818
2020-11-13,2309361
2020-11-14,1318624
2020-11-11,0
2020-11-12,0
2020-11-13,0
2020-11-15,2307281
2020-11-16,84402
2020-11-14,808301
2020-11-15,0
2020-11-19,1763545
2020-11-17,1846557
2020-11-16,1795527
2020-11-20,804409
2020-11-18,1385985
2020-11-17,0
2020-11-18,0
2020-11-19,0
2020-11-23,594758
2020-11-20,766400
2020-11-22,1148067
2020-11-21,1390752
2020-11-21,0
2020-11-22,0
2020-11-29,157826
2020-11-23,939571
2020-11-24,1070820
2020-11-27,295738
2020-11-25,410478
2020-11-26,299604
2020-11-28,225354
2020-11-29,1136418
2020-11-24,1029696
2020-11-27,965073
2020-11-25,1203635
2020-11-26,920623
2020-11-30,371744
2020-11-28,971936
2020-11-25,0
2020-11-26,0
2020-11-27,0
2020-11-28,0
2020-11-29,0
2020-12-01,668319
2020-11-30,730608
2020-12-01,391092
2020-12-02,966972
2020-12-04,143589
2020-12-03,997484
2020-12-02,0
2020-12-03,0
2020-12-04,0
2020-12-05,0
2020-12-06,0
2020-12-08,83215
2020-12-07,516695
2020-12-08,612837
2020-12-07,87159
2020-12-12,136938
2020-12-09,1195825
2020-12-10,1452538
2020-12-11,1912002
2020-12-10,0
2020-12-11,0
2020-12-15,1931574
2020-12-16,604461
2020-12-12,1042445
2020-12-14,1903392
2020-12-13,1115774
2020-12-13,0
2020-12-14,0
2020-12-15,0
2020-12-22,841347
2020-12-17,1202683
2020-12-16,451346
2020-12-23,368669
2020-12-20,1044067
2020-12-21,829712
2020-12-18,1023947
2020-12-19,1034919
2020-12-17,0
2020-12-18,0
2020-12-19,0
2020-12-20,0
2020-12-22,44560
2020-12-21,55424
2020-12-22,0
2020-12-25,459233
2020-12-24,697219
2020-12-23,411603
2020-12-26,131944
2020-12-24,0
2020-12-25,0
2020-12-26,0
2020-12-27,0
2020-12-28,0
2020-12-29,0
2020-12-30,0
